Method,NoiseFolder,Poisson,Gauss,File,PSNR,SSIM,MS-SSIM,MAE,LPIPS
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_018.tif,25.320967769974697,0.2254907126634732,0.8552125692367554,0.0394052788615226,0.4095630258321762
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_020.tif,24.637462789952792,0.2107202320602967,0.8496344089508057,0.0432792045176029,0.4377928607165813
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_017.tif,24.149974998733853,0.1924070151060374,0.8473058342933655,0.0499033406376838,0.4782994844019413
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_019.tif,24.53784143757625,0.2193867041412406,0.8437054753303528,0.0427848435938358,0.4195975981652736
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_021.tif,24.653758948816133,0.2102625881116757,0.8421428799629211,0.0438987649977207,0.4417160473763942
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_022.tif,23.431848650232222,0.1753883651860942,0.8347979187965393,0.051053799688816,0.5219493970274925
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_023.tif,24.45608613805247,0.2403367439071447,0.8399038314819336,0.0400080606341362,0.4154278382658958
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_024.tif,24.51629948881845,0.1921343739892607,0.8356878757476807,0.0468875281512737,0.4657491952180862
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_025.tif,24.62987780981381,0.2248357292162232,0.8715468049049377,0.0451276339590549,0.4320496134459972
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_026.tif,24.44480821735437,0.1828829267217091,0.822253406047821,0.0471022799611091,0.4617646105587482
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_027.tif,25.13726673994764,0.2583567666873769,0.8630072474479675,0.0412900075316429,0.4189734995365143
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_028.tif,25.211624302945683,0.2088924549035516,0.8345819711685181,0.0407973602414131,0.4583464778959751
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_029.tif,25.174818867850234,0.2313089216177863,0.8368308544158936,0.0395982414484024,0.4091570906341076
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_030.tif,25.115206365995885,0.2387213367583118,0.8376093506813049,0.0375891625881195,0.3906330928206444
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_032.tif,24.41840638309243,0.2226005630575297,0.8313039541244507,0.0428021326661109,0.4314042270183563
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_031.tif,24.99769886573452,0.2045548974906755,0.8492361307144165,0.0425065010786056,0.4704347997903824
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_033.tif,23.924718170218974,0.2111145056620391,0.7987253069877625,0.0447372496128082,0.4547697901725769
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_034.tif,23.26373970867765,0.1755305944624117,0.8434675335884094,0.0561780147254467,0.4909370616078377
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_035.tif,24.743032088580943,0.2263848936064418,0.8236107230186462,0.0375240892171859,0.3883213177323341
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_036.tif,25.59091584887977,0.2052512969787106,0.8380008339881897,0.0382969640195369,0.4295682139694691
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_037.tif,25.31976797179113,0.2178716512560027,0.8417282700538635,0.039777360856533,0.444958622008562
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_038.tif,25.507080753325184,0.1842234383449702,0.84783935546875,0.0406738892197608,0.4709255062043667
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_040.tif,24.144283865448163,0.2143784913546277,0.8462581634521484,0.0469796508550643,0.4379475608468056
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_039.tif,23.871625491056832,0.1901104936365698,0.8464670181274414,0.048158586025238,0.4731216982007026
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_041.tif,23.77217608673641,0.1751592538837588,0.8402338027954102,0.0496684871613979,0.5069980159401893
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_042.tif,25.10071974386178,0.1892078958757233,0.8548009991645813,0.0431916490197181,0.4825060032308101
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_043.tif,23.4260058539854,0.2057287364131354,0.8522855639457703,0.0504854507744312,0.4695887558162212
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_044.tif,23.80814706561238,0.209807893692931,0.8228519558906555,0.0481501147150993,0.4480016030371189
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_045.tif,24.865149833131035,0.1912289889934154,0.8554449677467346,0.0431538857519626,0.4659171603620052
CARE,poisson_16_gauss_0.05,16.0,0.05,sticks_046.tif,24.293078131337342,0.1718030837635903,0.8320121765136719,0.0490295216441154,0.5097936958074569
