Method,NoiseFolder,Poisson,Gauss,File,PSNR,SSIM,MS-SSIM,MAE,LPIPS
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_015.tif,25.92251760361982,0.23310496081124596,0.9075028300285339,0.048236507922410965,0.12566337995231153
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_018.tif,25.933594971540508,0.23761191689242622,0.9156418442726135,0.04778871312737465,0.1390764609153848
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_020.tif,25.863579479487452,0.22998222253033607,0.9019360542297363,0.0482538565993309,0.12998249673401005
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_017.tif,25.94775910556107,0.2295644727067279,0.9001145958900452,0.04814893752336502,0.1423723968444392
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_019.tif,25.27486643595106,0.22894905776692404,0.9069343209266663,0.051865510642528534,0.12691235581878574
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_021.tif,23.051908544169866,0.19152932976477519,0.868303120136261,0.06864191591739655,0.12629968804540112
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_022.tif,25.873368742307083,0.2227653669756872,0.8982133865356445,0.04862053692340851,0.13275638267514295
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_023.tif,26.53432095109703,0.2684956463886212,0.9273969531059265,0.04336314648389816,0.14346320261247456
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_024.tif,26.56857808120266,0.23401392940618226,0.8990921378135681,0.0445568785071373,0.13167693375144154
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_025.tif,21.542368198799416,0.18518242935254442,0.8708792328834534,0.08205600082874298,0.13574418487260118
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_026.tif,26.11362049622131,0.2293385238462823,0.8978292346000671,0.047097060829401016,0.13167190870735795
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_027.tif,23.18204364172308,0.23388983035906757,0.9040084481239319,0.06698384881019592,0.1666871713474393
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_028.tif,24.933922920877922,0.21320590844433546,0.8829665184020996,0.05480653792619705,0.13228685891954228
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_029.tif,23.992015547093697,0.2176575653671982,0.8873142600059509,0.0607626810669899,0.14306792989373207
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_030.tif,25.75188551513303,0.23853381309509908,0.9086482524871826,0.0488165020942688,0.1304971878300421
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_032.tif,25.305676337302387,0.2339664195856334,0.9010099768638611,0.05180134251713753,0.13196586724370718
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_031.tif,28.297035333610474,0.2796789577278187,0.9260907173156738,0.035205624997615814,0.13361321432166734
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_033.tif,21.524075823340514,0.18610967283462207,0.846968412399292,0.08205505460500717,0.1394846621667966
BM3DFilter,poisson_16_gauss_0.05,16.0,0.05,sticks_034.tif,26.300872501117333,0.23042224892352367,0.9050989747047424,0.04584451764822006,0.1348127661214676
